fluidify	积满液体
yha	青年招待所协会
povera	概念派的
ingravescence	逐渐加重
groom	修饰
pytheas	皮西亚斯
belgique	=Belgium
rue	懊悔
funnyman	喜剧演员
massify	一体化
isotactic	全规的
choir	唱诗班
lather	紧张
gratulatory	祝贺
letterer	文字雕刻员
colubrine	蛇
lubricious	淫荡
phrenologic	骨相学
humble	微贱
panhandle	锅柄
rodriguan	罗得里格斯岛
autoptical	实地考察的
enforceable	可强迫
prominence	突出
unbelievably	不可信
briefly	暂时
revolt	反叛
ruche	褶带
vibration	振动
workout	测验
hashimite	哈桑王族
remunerate	酬劳
activating	使活动
hobber	在靴上钉平头钉的工人
totality	总数
slack	懒散的
kilometre	公里
weak	弱的
caoutchouc	弹性橡皮
pakistani	巴基斯坦人
lax	松懈的
rheotactic	微生物在水流中之行动
whole	未打破的
reticulation	网状物
carmot	构成点金石的原料
villainous	恶棍
sax	XML
helispherical	在球体上成螺旋状缠绕的
supernatural	超自然
eucaryote	真核生物
preproduction	预制造的
prebiological	=prebiotic
unambivalent	鲜明的
costful	珍贵的
teen	愤怒
sociocultural	社会与文代化
dramatize	改编成为戏剧
slade	Lithographic
doltish	呆笨的
shellproof	防弹
sheriffdom	职务等
methylene	亚甲基
serodifferentiation	血清鉴别
tell	讲述
extrorse	向轴外
mutinous	反抗
phenylbenzene	联
prothesis	圣餐台
yawata	现为北九州市
tintack	镀锡的大头钉
consanguinity	血亲
disanimation	失去生命
destructively	狼狈
eject	驱逐
lomentaceous	节荚状
humorously	幽默地
fissilingual	舌头裂开的
injectable	可注射的
monobloc	整体的
feignedly	假装地
globulous	球状的
speculum	诊视器
amphibia	两栖纲
nuclease	核酸酶
potent	有力的
secularization	凡俗化
regenerate	重建
duodecimal	十二分算
simulative	模拟
felting	毛毯类
morosely	愁眉苦脸地
repulsive	推斥
personal	私人
repossess	复
turmeric	姜黄根粉末
interpretable	能翻译的
supporter	支持者
bream	铜盆鱼类
distichously	二分地
mammogen	激乳腺素
weatherboarding	装以护墙板
chironomid	摇蚊
isobarically	恒压的
truehearted	忠实
phlyctenule	小水疱
brace	振作精神
festoonery	花彩装饰
erewhile	片刻前
roscian	像罗西乌斯
welsh	食言
lavage	灌洗
peristylium	周柱中庭
lobstering	捉龙虾
soho	来阿!
oread	俄瑞阿
raa	英国皇家艺术院
remote	偏僻
resinoid	树脂状的
disposed	有……倾向的
mamillate	有乳头的
doomwatcher	观望末日的人
brooky	河道纵横
beery	象啤酒
microspore	小孢子
youngstown	扬斯敦
psittaceous	鹦鹉般
tropolone	环庚三烯酚酮
delineator	描写用器具
terrier	地籍册
homodont	同型齿的
partridgeberry	蔓虎刺之类
hinterland	穷乡僻壤
section	部分
mhr	the
phosphoric	磷的
waxen	似蜡
priss	娇女孩
indebt	使受恩惠
sericterium	丝腺
luteinize	使成为黄体部份
bitterly	厉害
sodomite	鸡奸者
voter	选举人
cherub	胖娃娃
preconquest	诺曼人征服英国前
kunlun	Mountains昆仑山
canaliculated	有小沟的
niton	氡
unjelled	不固定
modernism	现代风
effectuation	完成
tokoloshe	托科洛希
changeably	不稳定
munich	慕尼黑
wet	潮湿的
morose	乖僻
landgravine	女伯爵
suicidal	自杀的
ultramontane	山那边的
infinite	无限
telltale	搬弄是非
specialize	专门研究
unjoint	拆开连结处
lwop	leave
tannic	得自鞣革的
southmost	最南
conqueringly	耀武扬威地
kicker	踢者
seawards	向海
sue	请愿
antasthmatic	治疗气喘
incessancy	持续不断
unprepare	使无准备
tuxedo	男士无尾半正式晚礼服
mccarthyist	麦卡锡主义者
clarifier	澄清器
agonising	烦恼
collectivistic	集体主义
ruttish	春情的
iso	Standardization
reconcilable	可调和
airpark	小飞机场
isdn	Services
muffler	消声器
virogenic	病毒原的
disconcert	使惊惶
fordone	筋疲力尽的
expansion	浩瀚
unluckily	偏巧
pacification	和解
impeditive	妨碍
booze	酒宴
puritanical	严格的
moulder	分裂
glandular	腺的
capriole	跃起
phase	相位
decoloration	去色
lachlan	拉克兰河
gallionic	不问事的
diplogen	氘
entophytic	内生植物的
laguna	小池
insolvency	破产
subgroup	小群
micrometeor	=micrometeoroid
askew	歪斜地
cerebral	大脑的
thermic	热的
chillness	寒冷
healing	复原
sunkist	受阳光照射的
cellularized	分裂为很多细胞
run	逃跑
gladness	欢喜
vagrant	漂泊的
corroboratory	确定
bronchitic	支气管炎的
blowzy	不整洁
universally	普遍
flirtatious	爱调戏的
plush	长毛绒做
interrelation	相互关系
aureate	镀金的
paint	涂料
shirt	衬衣
ghostlike	恐怖
lipopectic	脂肪固定的
magnify	扩大
kempt	整洁
aerobiological	大气生CdVIkLlI/
phrasemonger	爱用华丽词句的人
unmatched	无匹敌的
interruption	打断
magnesic	含镁
actiyator	调速控制器
etruria	埃特鲁斯坎
samarang	=Semarang
ergotin	麦角精
memoirist	回忆录
dirty	恶劣
fac	air
assiduity	一丝不苟的作风
declivitous	相当陡的
unseen	看不见
una	联合国协会
imperturbable	冷静的
cytoplast	胞质
clannishly	派系
chinnampo	镇南浦(朝鲜民主主义人民共和国西部港市南浦
shilingi	坦桑尼亚先令
sterile	不结果
bms	海洋科学学士
semidurables	半耐用品
malodorant	=malodorous
still	静寂
instant	速溶
volatilizable	可挥发
platyrrhine	阔鼻类
synonymist	同义词汇编者
semidetached	只有一边相衔接的
honeybunch	亲爱的
sporangia	sporangium的复数
chield	家伙
unfrequent	不常发生的
bravissimo	太好了!好极啦!
hieroglyphologist	象形文字学/y/9haIErE^lI`fClEdVI/
sublime	提高
infelicific	招致不幸的
shade	遮蔽
toric	环面的
jesuitically	耶稣会地
trash	废物
facility	灵巧
foursquare	直爽的
crankily	暴躁
floral	植物群
vitellin	蛋黄素
kymography	记波照相术
dodecahedral	十二面体
belletristic	纯文学
unprofitable	不赚钱
cdma2000	Code
tenement	房屋
olimbos	奥林匹斯山
fade	褪色
photochromy	彩色照相术
warrior	鼓吹战争的人
frequently	经常地
throat	咽喉
roscian	像罗西乌斯的
mephitic	恶臭
hasty	草率
autolyze	自体溶解
junkyard	废旧物堆积
munitioner	军火商
microgamete	小配子
ratheripe	早熟
pentathlete	五项全能运动员
amenable	有服从义务
tatty	破旧
episcopature	主教之权限
calyculate	有杯状小体的
watchmaking	制表业
considerately	体贴
radiotransparent	在X光照射中不显影的
devouringly	贪食地
piemonte	皮埃蒙特区
abherent	追随者
puristic	修辞癖的
hoverheight	悬浮高度
delicate	病弱
orbicular	圆满
kitchensink	刻划现代生活不光明的一面
birdman	飞行员
marrowsky	首音互换
barren	不生育的
benedictional	使人幸福的
armory	兵工厂
simpleminded	纯朴
biramose	具二枝
lordotic	脊柱前凸的
vb	Basic
lyonnaise	用洋葱作配菜烧成
undissembling	公开
qnp	pawn
radioisotope	放射性同位元素
psychiater	精神病医师
hesperides	守护金苹果树的仙女
greasy	多脂的
riddling	谜一样
tailgunning	机尾枪的
cockeyed	傻
margery	女子名
sex	性欲
admirer	敬慕者
anticancer	抗癌
currier	制革匠
ruddiness	红色
unembroidered	未加修饰
unchoke	清除……的障碍
histomap	历史地图
dotty	多点
allheal	万灵草药
aminate	氨化
calculous	结石症
whiten	漂白
ingenital	内在的
chemotactically	趋化现象地
upset	扰乱
racemiferous	有串状花的
tail	船尾搁浅
dolomitic	含白云石
sterilize	消毒
vignette	装饰图案
prosciutto	意大利熏火腿
hydropsychotherapy	精神病水疗法
spitzbergen	=Spitsbergen
cyaneous	深蓝色
meretricious	俗气的
disremembrance	忘记
moksa	从轮回中得到解脱
traipse	拖曳
endoglobular	在血球内发生
ascending	向上的
preciously	昂贵地
